Frame,Timestamp,Stride_m,Stride_ft,Planted_Leg,LeftHeelX_m,RightHeelX_m,LeftHeelStatus,RightHeelStatus
3866,06/03/2025 04:02:31,0.050,0.16,right,5.229,5.190,MOVING,MOVING
3867,06/03/2025 04:02:31,0.078,0.26,left,4.730,4.676,MOVING,MOVING
3868,06/03/2025 04:02:31,0.097,0.32,right,4.677,4.592,MOVING,MOVING
3869,06/03/2025 04:02:31,0.118,0.39,right,4.680,4.599,STILL,STILL
3870,06/03/2025 04:02:31,0.132,0.43,right,4.686,4.598,STILL,STILL
3871,06/03/2025 04:02:31,0.141,0.46,right,4.687,4.607,STILL,STILL
3872,06/03/2025 04:02:31,0.161,0.53,right,4.689,4.608,STILL,STILL
3873,06/03/2025 04:02:31,0.172,0.56,right,4.692,4.602,STILL,STILL
3874,06/03/2025 04:02:31,0.143,0.47,right,4.688,4.606,STILL,MOVING
3875,06/03/2025 04:02:31,0.152,0.50,right,4.689,4.606,STILL,STILL
3876,06/03/2025 04:02:31,0.138,0.45,right,4.686,4.610,STILL,STILL
3877,06/03/2025 04:02:32,0.141,0.46,right,4.686,4.613,STILL,STILL
3878,06/03/2025 04:02:32,0.140,0.46,right,4.684,4.609,STILL,STILL
3879,06/03/2025 04:02:32,0.115,0.38,right,4.683,4.614,STILL,STILL
3880,06/03/2025 04:02:32,0.110,0.36,right,4.680,4.615,STILL,STILL
3881,06/03/2025 04:02:32,0.078,0.26,right,4.677,4.618,STILL,MOVING
3882,06/03/2025 04:02:32,0.063,0.21,right,4.678,4.618,STILL,STILL
3883,06/03/2025 04:02:32,0.058,0.19,left,4.676,4.617,STILL,MOVING
3884,06/03/2025 04:02:32,0.066,0.22,left,4.667,4.617,STILL,MOVING
3885,06/03/2025 04:02:32,0.069,0.23,left,4.671,4.618,STILL,STILL
3886,06/03/2025 04:02:32,0.099,0.32,left,4.670,4.618,STILL,MOVING
3887,06/03/2025 04:02:32,0.103,0.34,left,4.671,4.630,STILL,STILL
3888,06/03/2025 04:02:32,0.108,0.35,left,4.672,4.630,STILL,STILL
3889,06/03/2025 04:02:32,0.111,0.36,left,4.673,4.630,STILL,STILL
3890,06/03/2025 04:02:32,0.130,0.43,left,4.673,4.631,STILL,STILL
3891,06/03/2025 04:02:32,0.191,0.63,left,4.675,4.634,MOVING,STILL
3892,06/03/2025 04:02:32,0.213,0.70,left,4.676,4.637,STILL,STILL
3893,06/03/2025 04:02:32,0.223,0.73,left,4.676,4.638,STILL,STILL
3894,06/03/2025 04:02:32,0.220,0.72,left,4.676,4.638,STILL,STILL
3895,06/03/2025 04:02:32,0.217,0.71,left,4.678,4.638,STILL,STILL
3896,06/03/2025 04:02:32,0.205,0.67,left,4.681,4.636,STILL,STILL
3897,06/03/2025 04:02:32,0.203,0.67,left,4.684,4.635,STILL,STILL
3898,06/03/2025 04:02:32,0.156,0.51,left,4.688,4.635,MOVING,STILL
3899,06/03/2025 04:02:32,0.097,0.32,left,4.697,4.640,MOVING,STILL
3900,06/03/2025 04:02:32,0.076,0.25,left,4.701,4.643,MOVING,STILL
3901,06/03/2025 04:02:32,0.070,0.23,left,4.708,4.643,STILL,STILL
3902,06/03/2025 04:02:32,0.067,0.22,right,4.711,4.645,MOVING,STILL
3903,06/03/2025 04:02:32,0.070,0.23,right,4.716,4.651,MOVING,STILL
3904,06/03/2025 04:02:32,0.084,0.27,right,4.725,4.653,STILL,STILL
3905,06/03/2025 04:02:32,0.093,0.31,right,4.730,4.653,STILL,STILL
3906,06/03/2025 04:02:32,0.102,0.33,right,4.727,4.653,STILL,STILL
3907,06/03/2025 04:02:33,0.109,0.36,right,4.723,4.650,STILL,STILL
3908,06/03/2025 04:02:33,0.119,0.39,right,4.721,4.647,STILL,STILL
3909,06/03/2025 04:02:33,0.119,0.39,right,4.720,4.647,STILL,STILL
3910,06/03/2025 04:02:33,0.158,0.52,right,4.718,4.646,STILL,MOVING
3911,06/03/2025 04:02:33,0.196,0.64,right,4.718,4.642,STILL,MOVING
3912,06/03/2025 04:02:33,0.229,0.75,right,4.717,4.637,STILL,STILL
3913,06/03/2025 04:02:33,0.241,0.79,right,4.716,4.632,STILL,STILL
3914,06/03/2025 04:02:33,0.248,0.81,right,4.714,4.632,STILL,STILL
3915,06/03/2025 04:02:33,0.237,0.78,right,4.713,4.632,STILL,STILL
3916,06/03/2025 04:02:33,0.228,0.75,right,4.713,4.632,STILL,STILL
3917,06/03/2025 04:02:33,0.200,0.66,right,4.710,4.632,STILL,MOVING
3918,06/03/2025 04:02:33,0.124,0.41,right,4.710,4.639,STILL,MOVING
3919,06/03/2025 04:02:33,0.090,0.29,right,4.709,4.642,STILL,MOVING
3920,06/03/2025 04:02:33,0.073,0.24,right,4.709,4.646,STILL,STILL
3921,06/03/2025 04:02:33,0.066,0.22,left,4.708,4.647,STILL,MOVING
3922,06/03/2025 04:02:33,0.076,0.25,left,4.707,4.648,STILL,STILL
