Frame,Timestamp,Stride_m,Stride_ft,Planted_Leg,Stationary_Heel
3872,06/03/2025 04:02:31,0.352,1.16,left,right
3877,06/03/2025 04:02:32,0.204,0.67,right,left
3880,06/03/2025 04:02:32,0.298,0.98,right,left
3883,06/03/2025 04:02:32,0.186,0.61,right,left
3889,06/03/2025 04:02:32,0.424,1.39,right,right
3899,06/03/2025 04:02:32,0.170,0.56,left,right
3900,06/03/2025 04:02:32,0.153,0.50,left,right
3902,06/03/2025 04:02:32,0.114,0.37,right,right
3903,06/03/2025 04:02:32,0.124,0.41,right,right
3904,06/03/2025 04:02:32,0.136,0.45,right,right
3912,06/03/2025 04:02:33,0.394,1.29,right,left
3915,06/03/2025 04:02:33,0.340,1.11,right,left
3917,06/03/2025 04:02:33,0.253,0.83,right,left
3919,06/03/2025 04:02:33,0.140,0.46,right,left
3920,06/03/2025 04:02:33,0.125,0.41,right,left
3921,06/03/2025 04:02:33,0.175,0.58,right,left
3930,06/03/2025 04:02:33,0.382,1.25,left,right
3931,06/03/2025 04:02:33,0.387,1.27,left,right
3932,06/03/2025 04:02:33,0.381,1.25,left,right
3933,06/03/2025 04:02:33,0.400,1.31,left,left
3937,06/03/2025 04:02:34,0.280,0.92,left,right
3941,06/03/2025 04:02:34,0.135,0.44,left,right
3953,06/03/2025 04:02:34,0.419,1.38,right,left
3956,06/03/2025 04:02:34,0.290,0.95,right,left
3958,06/03/2025 04:02:34,0.242,0.79,right,left
3959,06/03/2025 04:02:34,0.168,0.55,right,left
3960,06/03/2025 04:02:34,0.135,0.44,right,left
3962,06/03/2025 04:02:34,0.146,0.48,right,left
3978,06/03/2025 04:02:35,0.120,0.40,left,right
3993,06/03/2025 04:02:35,0.353,1.16,right,left
3994,06/03/2025 04:02:35,0.335,1.10,right,left
3995,06/03/2025 04:02:35,0.348,1.14,right,left
3996,06/03/2025 04:02:35,0.319,1.05,right,left
3998,06/03/2025 04:02:36,0.132,0.43,right,left
3999,06/03/2025 04:02:36,0.200,0.65,right,left
4000,06/03/2025 04:02:36,0.185,0.61,right,left
4006,06/03/2025 04:02:36,0.327,1.07,left,right
4008,06/03/2025 04:02:36,0.340,1.12,left,right
4009,06/03/2025 04:02:36,0.384,1.26,left,right
4018,06/03/2025 04:02:36,0.118,0.39,left,right
4019,06/03/2025 04:02:36,0.118,0.39,right,right
4030,06/03/2025 04:02:37,0.410,1.34,right,left
4033,06/03/2025 04:02:37,0.331,1.08,right,left
4046,06/03/2025 04:02:37,0.389,1.28,left,left
4047,06/03/2025 04:02:37,0.395,1.30,left,right
4048,06/03/2025 04:02:37,0.404,1.33,left,right
4050,06/03/2025 04:02:37,0.321,1.05,left,left
4051,06/03/2025 04:02:37,0.306,1.00,left,right
4053,06/03/2025 04:02:37,0.362,1.19,left,right
4055,06/03/2025 04:02:37,0.372,1.22,left,right
4066,06/03/2025 04:02:38,0.527,1.73,left,right
4071,06/03/2025 04:02:38,0.402,1.32,right,right
4074,06/03/2025 04:02:38,0.311,1.02,right,left
4076,06/03/2025 04:02:38,0.133,0.44,right,left
4077,06/03/2025 04:02:38,0.208,0.68,right,left
4081,06/03/2025 04:02:38,0.414,1.36,left,left
4085,06/03/2025 04:02:38,0.433,1.42,left,right
4087,06/03/2025 04:02:39,0.448,1.47,left,right
4088,06/03/2025 04:02:39,0.385,1.26,left,right
4090,06/03/2025 04:02:39,0.360,1.18,left,right
4123,06/03/2025 04:02:40,0.315,1.03,left,right
4131,06/03/2025 04:02:40,0.180,0.59,right,right
4133,06/03/2025 04:02:40,0.241,0.79,left,right
4136,06/03/2025 04:02:40,0.190,0.62,right,right
4151,06/03/2025 04:02:41,0.343,1.12,right,left
